,Task_name,Task_description,Task_label,Task_priority,Sprint_number,Planned_estimate,Actual_estimate,Optimistic,Most_likely,Pessimistic,Weighted_average,Standard_deviation,Risk_factor,Standard_confidence,High_confidence,Higher_confidence,Highest_confidence,Final_estimate,Variance,Ai_estimate
189,TestWithClover task must be aware of instrumented test sources and modify test classpath accordingly,,EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
190,Auto-update of Titanium SDK,"{html}<div><p>Ping web service for newer versions of SDK. If present, download and unzip into proper directory, Shalom suggests reusing parts of portal code.</p></div>{html}",EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
191,Other LOE -- Dec 2015,"weekly LSST local grouop meetings, NCSA meetings (All-hands, software, etc), code review, other local meetings, postdoc meetings and tasks",EST_BE,Medium,INT Sprint 1,12,13,11,12,12,11.83,0.17,0.01,11.83,11.92,12.05,12.23,11,3721,8
192,Add 'file' fetcher plugin.,"Add support for ""file"" based URI fetcher. This could be useful for container image provisioning from local file system.",EST_BE,Medium,INT Sprint 1,4,4,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
193,Remove password_compat library,"Once we have increased our minimum version to PHP 5.5.0, we can drop use of this library in Moodle.",EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
194,Make list of elements for consideration for planning packages,Create a detailed checklist for developing the planning packages for the replan and WBS restructuring.,EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
195,Add gradle build support for custom module projects,"As a user, I'd like to have a gradle build option so that I can support module projects that will declare the Spring XD dependencies as provided, configure the boot plugin for 'MODULE' layout and other boilerplate build configuration.    This is dependent on Boot's module layout scoping issue: https://github.com/spring-projects/spring-boot/issues/2187",EST_BE,Medium,INT Sprint 1,6,6,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
196,Exception in macro buildResult,"I've gotten this exception several times now:    2009-12-31 10:36:49,916 INFO [1300187729@qtp-380183900-10] [AccessLogFilter] bteh http://bteh.sydney.atlassian.com:8085/bamboo/api/rest/getLatestUserBuilds.action?auth=OmdvT9Cj0M 115615kb  2009-12-31 10:36:49,963 INFO [1300187729@qtp-380183900-10] [AccessLogFilter] bteh http://bteh.sydney.atlassian.com:8085/bamboo/api/rest/getLatestBuildResults.action?auth=OmdvT9Cj0M&buildKey=TEST-DEF 112273kb  2009-12-31 10:36:49,982 INFO [1300187729@qtp-380183900-10] [AccessLogFilter] bteh http://bteh.sydney.atlassian.com:8085/bamboo/api/rest/getLatestBuildResults.action?auth=OmdvT9Cj0M&buildKey=TEST-DEF2 111418kb  2009-12-31 10:36:50,013 INFO [1300187729@qtp-380183900-10] [AccessLogFilter] bteh http://bteh.sydney.atlassian.com:8085/bamboo/api/rest/getLatestBuildResults.action?auth=OmdvT9Cj0M&buildKey=TEST-DEF3 110540kb  2009-12-31 10:36:50,117 INFO [1300187729@qtp-380183900-10] [AccessLogFilter] bteh http://bteh.sydney.atlassian.com:8085/bamboo/api/rest/getRecentlyCompletedBuildResultsForBuild.action?auth=OmdvT9Cj0M&buildKey=TEST-DEF3 109878kb  2009-12-31 10:26:52,088 ERROR [543021934@qtp-380183900-0] [runtime]     Error executing macro: buildResult  required parameter: buildSummary is not specified.  The problematic instruction:  ----------  ==> macro buildResult [on line 1, column 1 in api/rest/macros.ftl]   in user-directive api.buildResult [on line 4, column 9 in api/rest/recentlyCompletedBuildResultsForBuild.ftl]  ----------    Java backtrace for programmers:  ----------  freemarker.template.TemplateException: Error executing macro: buildResult  required parameter: buildSummary is not specified.    freemarker.core.Macro$Context.sanityCheck(Macro.java:207)    freemarker.core.Macro$Context.runMacro(Macro.java:165)    freemarker.core.Environment.visit(Environment.java:602)    freemarker.core.UnifiedCall.accept(UnifiedCall.java:106)    freemarker.core.Environment.visit(Environment.java:209)    freemarker.core.MixedContent.accept(MixedContent.java:92)    freemarker.core.Environment.visit(Environment.java:209)    freemarker.core.IteratorBlock$Context.runLoop(IteratorBlock.java:167)    freemarker.core.Environment.visit(Environment.java:416)    freemarker.core.IteratorBlock.accept(IteratorBlock.java:102)    freemarker.core.Environment.visit(Environment.java:209)    freemarker.core.MixedContent.accept(MixedContent.java:92)    freemarker.core.Environment.visit(Environment.java:209)    freemarker.core.Environment.process(Environment.java:189)    freemarker.template.Template.process(Template.java:237)    com.opensymphony.webwork.views.freemarker.FreemarkerResult.doExecute(FreemarkerResult.java:214)    com.opensymphony.webwork.dispatcher.WebWorkResultSupport.execute(WebWorkResultSupport.java:143)    com.opensymphony.xwork.DefaultActionInvocation.executeResult(DefaultActionInvocation.java:313)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:208)    com.opensymphony.xwork.interceptor.DefaultWorkflowInterceptor.doIntercept(DefaultWorkflowInterceptor.java:175)    com.atlassian.bamboo.ww2.interceptors.BambooWorkflowInterceptor.doIntercept(BambooWorkflowInterceptor.java:33)    com.opensymphony.xwork.interceptor.MethodFilterInterceptor.intercept(MethodFilterInterceptor.java:86)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.validator.ValidationInterceptor.doIntercept(ValidationInterceptor.java:116)    com.atlassian.bamboo.ww2.interceptors.BambooValidationInterceptor.doIntercept(BambooValidationInterceptor.java:33)    com.opensymphony.xwork.interceptor.MethodFilterInterceptor.intercept(MethodFilterInterceptor.java:86)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:31)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:31)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:31)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.webwork.interceptor.FileUploadInterceptor.intercept(FileUploadInterceptor.java:174)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:31)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:31)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:31)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.interceptor.I18nInterceptor.intercept(I18nInterceptor.java:151)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:31)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.atlassian.bamboo.security.acegi.intercept.web.WebworkSecurityInterceptor.intercept(WebworkSecurityInterceptor.java:55)    com.atlassian.bamboo.security.acegi.intercept.web.WebworkSecurityInterceptorProxy.intercept(WebworkSecurityInterceptorProxy.java:30)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.atlassian.bamboo.ww2.interceptors.PaginationAwareInterceptor.intercept(PaginationAwareInterceptor.java:68)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.atlassian.bamboo.ww2.interceptors.StatisticsAwareInterceptor.intercept(StatisticsAwareInterceptor.java:41)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.atlassian.bamboo.ww2.interceptors.ResultsListAwareInterceptor.intercept(ResultsListAwareInterceptor.java:48)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.atlassian.bamboo.ww2.interceptors.TestCaseAwareInterceptor.intercept(TestCaseAwareInterceptor.java:44)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.atlassian.bamboo.ww2.interceptors.BuildResultsSummaryAwareInteceptor.intercept(BuildResultsSummaryAwareInteceptor.java:66)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.atlassian.bamboo.ww2.interceptors.BuildAwareInterceptor.intercept(BuildAwareInterceptor.java:47)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:31)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.interceptor.AroundInterceptor.intercept(AroundInterceptor.java:31)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.atlassian.bamboo.ww2.interceptors.RemoteApiExceptionInterceptor.intercept(RemoteApiExceptionInterceptor.java:21)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.atlassian.bamboo.ww2.interceptors.RemoteApiLoginInterceptor.intercept(RemoteApiLoginInterceptor.java:57)    com.opensymphony.xwork.DefaultActionInvocation.invoke(DefaultActionInvocation.java:190)    com.opensymphony.xwork.DefaultActionProxy.execute(DefaultActionProxy.java:116)    com.opensymphony.webwork.dispatcher.DispatcherUtils.serviceAction(DispatcherUtils.java:274)    com.opensymphony.webwork.dispatcher.FilterDispatcher.doFilter(FilterDispatcher.java:202)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:46)    com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:55)    com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:41)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.opensymphony.module.sitemesh.filter.PageFilter.parsePage(PageFilter.java:118)    com.opensymphony.module.sitemesh.filter.PageFilter.doFilter(PageFilter.java:52)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.opensymphony.webwork.dispatcher.ActionContextCleanUp.doFilter(ActionContextCleanUp.java:88)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:46)    com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:55)    com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:41)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.atlassian.bamboo.filter.AccessLogFilter.doFilter(AccessLogFilter.java:61)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    org.acegisecurity.util.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:265)    org.acegisecurity.providers.anonymous.AnonymousProcessingFilter.doFilter(AnonymousProcessingFilter.java:125)    org.acegisecurity.util.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:275)    com.atlassian.bamboo.filter.SeraphLoginFilter.doFilter(SeraphLoginFilter.java:61)    org.acegisecurity.util.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:275)    org.acegisecurity.util.FilterChainProxy.doFilter(FilterChainProxy.java:149)    org.acegisecurity.util.FilterToBeanProxy.doFilter(FilterToBeanProxy.java:98)    com.atlassian.bamboo.filter.BambooAcegiProxyFilter.doFilter(BambooAcegiProxyFilter.java:25)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.atlassian.bamboo.filter.LicenseFilter.doFilter(LicenseFilter.java:73)    com.atlassian.core.filters.AbstractHttpFilter.doFilter(AbstractHttpFilter.java:31)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.atlassian.johnson.filters.AbstractJohnsonFilter.doFilter(AbstractJohnsonFilter.java:72)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.atlassian.seraph.filter.SecurityFilter.doFilter(SecurityFilter.java:206)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.atlassian.seraph.filter.BaseLoginFilter.doFilter(BaseLoginFilter.java:133)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:46)    com.atlassian.plugin.servlet.filter.DelegatingPluginFilter$1.doFilter(DelegatingPluginFilter.java:66)    com.atlassian.oauth.serviceprovider.internal.servlet.OAuthFilter.doFilter(OAuthFilter.java:69)    com.atlassian.plugin.servlet.filter.DelegatingPluginFilter.doFilter(DelegatingPluginFilter.java:74)    com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:42)    com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:55)    com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:41)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    org.springframework.orm.hibernate.support.OpenSessionInViewFilter.doFilterInternal(OpenSessionInViewFilter.java:170)    com.atlassian.spring.filter.FlushingSpringSessionInViewFilter.doFilterInternal(FlushingSpringSessionInViewFilter.java:29)    org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:75)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.planetj.servlet.filter.compression.CompressingFilter.handleDoFilter(CompressingFilter.java:203)    com.planetj.servlet.filter.compression.CompressingFilter.doFilter(CompressingFilter.java:174)    com.atlassian.bamboo.filter.CompressingFilter.doFilter(CompressingFilter.java:65)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.atlassian.bamboo.filter.RequestCacheThreadLocalFilter.doFilter(RequestCacheThreadLocalFilter.java:26)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    com.atlassian.plugin.servlet.filter.IteratingFilterChain.doFilter(IteratingFilterChain.java:46)    com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:55)    com.atlassian.plugin.servlet.filter.ServletFilterModuleContainerFilter.doFilter(ServletFilterModuleContainerFilter.java:41)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:96)    org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:75)    org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1139)    org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:378)    org.mortbay.jetty.security.SecurityHandler.handle(SecurityHandler.java:216)    org.mortbay.jetty.servlet.SessionHandler.handle(SessionHandler.java:181)    org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:765)    org.mortbay.jetty.webapp.WebAppContext.handle(WebAppContext.java:417)    org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:152)    org.mortbay.jetty.Server.handle(Server.java:324)    org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:535)    org.mortbay.jetty.HttpConnection$RequestHandler.headerComplete(HttpConnection.java:865)    org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:539)    org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:212)    org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:404)    org.mortbay.jetty.bio.SocketConnector$Connection.run(SocketConnector.java:228)    org.mortbay.thread.QueuedThreadPool$PoolThread.run(QueuedThreadPool.java:520)",EST_BE,Medium,INT Sprint 1,4,4,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
197,Rendering an IR node tree should produce properly parenthesized output,"It appears that rendering a tree of IR nodes doesn't always result in correct generation of parentheses. Consider the following tree: {panel} * OrTerm ** BoolFactor *** NullPredicate **** ValueExpr ***** ValueFactor: ColumnRef(""refObjectId"") ** BoolFactor *** CompPredicate **** ValueExpr ***** ValueFactor: ColumnRef(""flags"") **** Token(""<>"") **** ValueExpr ***** ValueFactor: Const(""2"") {panel}  which corresponds to the SQL for: ""refObjectId IS NULL OR flags<>2"". If one prepends this (via {{WhereClause.prependAndTerm()}}) to the {{WhereClause}} obtained by parsing ""... WHERE foo!=bar AND baz<3.14159;"" and renders the result using {{QueryTemplate}}, one obtains:      {{... WHERE refObjectId IS NULL OR flags<>2 AND foo!=bar AND baz<3.14159}}  This is equivalent to      {{... WHERE refObjectId IS NULL OR (flags<>2 AND foo!=bar AND baz<3.14159)}}  which doesn't match the parse tree - one should obtain:      {{... WHERE (refObjectId IS NULL OR flags<>2) AND foo!=bar AND baz<3.14159}}  This issue involves surveying all IR node classes and making sure that they render parentheses properly. {color:gray}(One way we might test for this is to parse queries containing parenthesized expressions where removal of the parentheses changes the meaning of the query. This would give us some IR that we can render to a string and reparse back into IR. If the rendering logic is correct, one should obtain identical IR trees).{color} Other possibilities that might explain the behavior above is that the input tree is somehow invalid or that {{WhereClause.prependAndTerm}} creates invalid IR.",EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
198,Add support to read custom module artifact from HDFS,"As a user, I'd like to have the option to store the custom module uber-jar in HDFS so that I can rely on the HA feature to reliably read and reinstall under failure scenarios. ",EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
199,RegistryTokenTest.ExpiredToken test is flaky,"RegistryTokenTest.ExpiredToken test is flaky. Here is the error I got on OSX after running it for several times:    {noformat}  [ RUN      ] RegistryTokenTest.ExpiredToken  ../../src/tests/containerizer/provisioner_docker_tests.cpp:167: Failure  Value of: token.isError()    Actual: false  Expected: true  libc++abi.dylib: terminating with uncaught exception of type testing::internal::GoogleTestFailureException: ../../src/tests/containerizer/provisioner_docker_tests.cpp:167: Failure  Value of: token.isError()    Actual: false  Expected: true  *** Aborted at 1442708631 (unix time) try ""date -d @1442708631"" if you are using GNU date ***  PC: @     0x7fff925fd286 __pthread_kill  *** SIGABRT (@0x7fff925fd286) received by PID 7082 (TID 0x7fff7d7ad300) stack trace: ***      @     0x7fff9041af1a _sigtramp      @     0x7fff59759968 (unknown)      @     0x7fff9bb429b3 abort      @     0x7fff90ce1a21 abort_message      @     0x7fff90d099b9 default_terminate_handler()      @     0x7fff994767eb _objc_terminate()      @     0x7fff90d070a1 std::__terminate()      @     0x7fff90d06d48 __cxa_rethrow      @        0x10781bb16 testing::internal::HandleExceptionsInMethodIfSupported<>()      @        0x1077e9d30 testing::UnitTest::Run()      @        0x106d59a91 RUN_ALL_TESTS()      @        0x106d55d47 main      @     0x7fff8fc395c9 start      @                0x3 (unknown)  Abort trap: 6  ~/src/mesos/build ((3ee82e3...)) $  {noformat}",EST_BE,Medium,INT Sprint 1,6,6,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
200,uncheck the selected columns can not saved,"1. create a column analysis, selected some columns,save  2  reopen the analysis, the columns are still there. try to uncheck the columns in ""colulmn selection"" dialog(both try to click the table folder or the each colulmn one by one), click ""ok""close the dialog.  3. check the analysis editor, the colulmns are still there(checked status).  save and reopen, columns are still there  4. the same issue for content compare analysis.    shoule make sure for column/columnset/contentCompare/Norminal correlation/Numerical correlation/time correlation/function dependency analysis work well for, both check and uncheck function work well in the column selection dialog, and work well for delete selected columns in the column editor by delete button(especially for deleting more than one column)",EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
201,Create django fields,,EST_BE,Medium,ET Sprint 1,12,12,12,13,12,12.67,0.0,0.0,12.67,12.67,12.67,12.67,12,3600,8
202,"Segfault in inline Try<IP> getIP(const std::string& hostname, int family)","We saw a segfault in production. Attaching the coredump, we see:    Core was generated by `/usr/local/sbin/mesos-slave --port=5051 --resources=cpus:23;mem:70298;ports:[31'.  Program terminated with signal 11, Segmentation fault.  #0  0x00007f639867c77e in free () from /lib64/libc.so.6  (gdb) bt  #0  0x00007f639867c77e in free () from /lib64/libc.so.6  #1  0x00007f63986c25d0 in freeaddrinfo () from /lib64/libc.so.6  #2  0x00007f6399deeafa in net::getIP (hostname=""<redacted>"", family=2) at ./3rdparty/stout/include/stout/net.hpp:201  #3  0x00007f6399e1f273 in process::initialize (delegate=Unhandled dwarf expression opcode 0xf3  ) at src/process.cpp:837  #4  0x000000000042342f in main ()",EST_BE,Medium,INT Sprint 1,2,3,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
203,Graphical representation Example demo,,EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
204,Allow users to package multiple module projects as one zip,"Currently Studio only allows packaging of single module projects. For cross-platform modules and multi-version modules, there is no easy way to package other than packaging each module individually and then manually combining them into one zip. Manually combining projects does not validate best practices for module creation. We should:    -Module package wizard has an option for ""Package for multiple platforms"" option, which allows the user to specify additional projects to package along with the targeted project  -The following validation is done: module id matches, guid matches  ",EST_BE,Medium,INT Sprint 1,16,16,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
205,Implement a network-handle manager for net_cls cgroup subsystem,"As part of implementing the net_cls cgroup isolator we need a mechanism to manage the minor handles that will allocated to containers when they are associated with a net_cls cgroup. The network-handle manager needs to provide the following functionality:    a) During normal operation keep track of the free and allocated network handles. There can be a total of 64K such network handles.  b) On startup, learn the allocated network handle by walking the net_cls cgroup tree for mesos and build a map of free network handles available to the agent. ",EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
206,Web design fixes DM Design Documents on Sphinx/Read The Docs,"Solve fit-and-finish issues with the stock readthedocs.org Sphinx template when rendering DM design documents. Issues include:    * Sections need to be numbered and those numbers need to appear in TOC  * RTD's TOC does not properly collapse sub-topics  * Appropriate styling for document title and author list  * Wrapping the changelog table  * Adapt section references so that just the section number can be referenced, independently of the section number and title in combination  * Section labels given explicitly in the reST markup are different from the anchors that Sphinx gives to the {{<hN>}}tags; the former are simply divs inserted in the HTML.    The solutions may involve    # reconfiguring the Sphinx installation of individual documents  # forking the RTD HTML template, and/or  # developing extensions for Sphinx in {{sphinxkit}}.",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
207,DockerFetcherPluginTest.INTERNET_CURL_FetchImage seems flaky.,"{noformat}  ../configure --enable-ssl --enable-libevent && make check  {noformat}    {noformat}  --gtest_repeat=-1 --gtest_break_on_failure  --gtest_filter=DockerFetcherPluginTest.INTERNET_CURL_FetchImage   {noformat}    Failed at the 22nd run.     {noformat}  [ RUN      ] DockerFetcherPluginTest.INTERNET_CURL_FetchImage  ../../src/tests/uri_fetcher_tests.cpp:276: Failure  Failed to wait 15secs for fetcher.get()->fetch(uri, dir)  *** Aborted at 1454207653 (unix time) try ""date -d @1454207653"" if you are using GNU date ***  PC: @          0x167023a testing::UnitTest::AddTestPartResult()  *** SIGSEGV (@0x0) received by PID 19868 (TID 0x7f500fc877c0) from PID 0; stack trace: ***      @     0x7f5008f368d0 (unknown)      @          0x167023a testing::UnitTest::AddTestPartResult()      @          0x1664c73 testing::internal::AssertHelper::operator=()      @          0x146ac6f mesos::internal::tests::DockerFetcherPluginTest_INTERNET_CURL_FetchImage_Test::TestBody()      @          0x168dc70 testing::internal::HandleSehExceptionsInMethodIfSupported<>()      @          0x1688cc8 testing::internal::HandleExceptionsInMethodIfSupported<>()      @          0x166a013 testing::Test::Run()      @          0x166a7a1 testing::TestInfo::Run()      @          0x166addc testing::TestCase::Run()      @          0x167172b testing::internal::UnitTestImpl::RunAllTests()      @          0x168e8ff testing::internal::HandleSehExceptionsInMethodIfSupported<>()      @          0x168981e testing::internal::HandleExceptionsInMethodIfSupported<>()      @          0x167045b testing::UnitTest::Run()      @           0xe2d476 RUN_ALL_TESTS()      @           0xe2d08c main      @     0x7f5008b9fb45 (unknown)      @           0x9c6bf9 (unknown)  {noformat}",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
208,Add some test coverage to mqtt modules,"Even though it may be hard to come up with a mqtt broker, an easy test that should be automated is    somesource | mqtt --topic=foo    with     mqtt --topics=foo | somesink      And asserting that what is emitted to somesource ends up in somesink.    ",EST_BE,Medium,INT Sprint 1,6,6,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
209,fix miscellaneous table issues,# disable sorting when content is html  # table options: auto-adjust all column width based on content  # table refractoring: exposing more actions to saga.  #* renamed a few actions to better reflect what it's doing.  #* added TABLE_FILTER  #* added document for sequence of actions where applicable.  # update build script to skip buildClient when possible.  # Catalog overlay should not use table id in drawing layer description. (See the attached screenshot.) It should be using MetaConst.CATALOG_OVERLAY_TYPE attribute value,EST_BE,Medium,INT Sprint 1,8,8,7,8,8,7.83,0.17,0.02,7.83,7.92,8.05,8.23,7,1681,8
210,rearchitect Qserv to fix dependencies between modules in qserv/core,"I looked at includes in ""core/modules"", here is a summary.  * "":"" indicates a dependency * global, log, util, wbase, wlog and xrootd are low level, it is an easy, I didn't bother showing them below  * ""!!!"" indicates circular dependency  * lower-level modules first  {core} css:      <nothing> global:   <nothing> mysql:    <nothing> obsolete: <nothing> proto:    <nothing> sql:      mysql wconfig:  sql, mysql wpublish: sql, wconfig  !!! wsched <--> wcontrol !!! wcontrol <--> wdb wsched:   proto, wcontrol wcontrol: mysql, sql, wsched, wdb, wcontrol, obsolete, proto wdb:      sql, mysql, proto, wconfig, wcontrol  xrdfs:    wpublish, wdb, wconfig, sql, obsolete, wcontrol merger:   sql, xrdfs xrdoss:   obsolete, wpublish, xrdfs  !!! control <--> qdisp !!! qana <--> qproc !!! qana <--> query !!! parser --> query -->qana --> parser !!! query --> qana --> qproc --> query control:  css, merger, obsolete, qdisp, qproc, query qdisp:    control qana:     css, parser, qproc, query qproc:    css, merger, parser, proto, qana, qdisp, query query:    css, qana, qdisp parser:   query {core} ",EST_BE,Medium,INT Sprint 1,20,20,19,20,21,20.0,0.33,0.02,20.0,20.17,20.42,20.77,20,11449,8
211,Add README to be included in root directory of distribution,should explain basic layout of the distribution,EST_BE,Medium,INT Sprint 1,2,2,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
212,reST roles for JIRA References,"Add {{:jira:`DM-1234`}}-type roles to documenteer so that JIRA tickets, epics and RFCs can be referenced easily from all of our Sphinx-based projects.",EST_BE,Medium,INT Sprint 1,4,4,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
